기간	자치구	동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상+
2020.2/4	성동구	성수2가3동	계	11,615	321	295	248	312	834	1,293	1,109	973	731	837	925	1,004	899	601	473	370	238	102	34	6	10
2020.2/4	성동구	성수2가3동	한국인	11,312	317	291	244	302	798	1,264	1,075	933	706	812	886	977	884	594	470	370	237	102	34	6	10
2020.2/4	성동구	성수2가3동	외국인	303	4	4	4	10	36	29	34	40	25	25	39	27	15	7	3	-	1	-	-	-	-
2020.2/4	성동구	송정동	계	11,365	282	305	262	383	756	1,070	867	901	802	894	1,048	1,082	983	625	436	321	200	97	36	7	8
2020.2/4	성동구	송정동	한국인	10,913	271	298	259	375	711	1,019	820	856	763	862	995	1,026	945	616	432	318	200	96	36	7	8
2020.2/4	성동구	송정동	외국인	452	11	7	3	8	45	51	47	45	39	32	53	56	38	9	4	3	-	1	-	-	-
2020.2/4	성동구	용답동	계	13,136	226	297	281	510	1,033	1,323	966	881	854	1,090	1,245	1,258	1,011	669	566	470	302	113	32	5	4
2020.2/4	성동구	용답동	한국인	12,082	196	272	271	401	856	1,196	887	822	804	1,024	1,152	1,117	954	646	562	468	301	112	32	5	4
2020.2/4	성동구	용답동	외국인	1,054	30	25	10	109	177	127	79	59	50	66	93	141	57	23	4	2	1	1	-	-	-
2020.2/4	성동구	왕십리도선동	계	27,812	1,215	1,248	772	901	2,006	2,590	2,269	2,685	2,052	2,078	2,337	2,226	1,814	1,175	889	742	478	207	79	27	22
2020.2/4	성동구	왕십리도선동	한국인	27,304	1,201	1,240	763	889	1,917	2,518	2,205	2,636	2,018	2,051	2,288	2,184	1,788	1,166	886	742	477	207	79	27	22
2020.2/4	성동구	왕십리도선동	외국인	508	14	8	9	12	89	72	64	49	34	27	49	42	26	9	3	-	1	-	-	-	-
2020.2/4	성동구	금호2.3가동	계	23,929	1,025	759	658	901	1,371	1,689	2,010	2,297	1,891	1,964	1,901	1,873	1,739	1,235	944	823	485	230	84	23	27
2020.2/4	성동구	금호2.3가동	한국인	23,743	1,018	755	657	900	1,353	1,675	1,990	2,278	1,869	1,946	1,878	1,851	1,731	1,227	943	823	485	230	84	23	27
2020.2/4	성동구	금호2.3가동	외국인	186	7	4	1	1	18	14	20	19	22	18	23	22	8	8	1	-	-	-	-	-	-
2020.2/4	성동구	옥수동	계	27,129	1,380	1,327	845	869	1,278	1,808	2,332	2,986	2,395	2,140	1,976	2,033	1,835	1,288	988	755	507	228	108	24	27
2020.2/4	성동구	옥수동	한국인	26,860	1,375	1,310	837	860	1,267	1,790	2,295	2,949	2,362	2,111	1,955	2,014	1,831	1,277	985	752	505	227	107	24	27
2020.2/4	성동구	옥수동	외국인	269	5	17	8	9	11	18	37	37	33	29	21	19	4	11	3	3	2	1	1	-	-
2020.2/4	광진구	소계	계	363,925	9,435	11,905	12,357	14,948	29,636	37,973	30,976	28,655	25,810	29,372	29,453	28,471	25,477	17,042	12,646	9,702	5,990	2,608	977	280	212
2020.2/4	광진구	소계	한국인	349,574	9,071	11,568	12,167	14,519	26,584	35,984	29,562	27,603	25,056	28,507	28,201	26,868	24,688	16,872	12,596	9,685	5,976	2,601	976	279	211
2020.2/4	광진구	소계	외국인	14,351	364	337	190	429	3,052	1,989	1,414	1,052	754	865	1,252	1,603	789	170	50	17	14	7	1	1	1
2020.2/4	광진구	화양동	계	25,263	210	245	254	668	5,489	5,905	2,933	1,727	1,120	1,191	1,195	1,071	977	750	589	455	297	99	48	17	23
2020.2/4	광진구	화양동	한국인	22,360	191	236	248	532	4,095	5,259	2,710	1,616	1,063	1,143	1,110	974	923	736	587	455	297	98	47	17	23
2020.2/4	광진구	화양동	외국인	2,903	19	9	6	136	1,394	646	223	111	57	48	85	97	54	14	2	-	-	1	1	-	-
2020.2/4	광진구	군자동	계	22,007	460	562	503	750	2,526	3,054	2,232	1,794	1,331	1,396	1,526	1,543	1,429	953	736	632	359	149	47	15	10
2020.2/4	광진구	군자동	한국인	19,952	411	516	491	616	1,764	2,637	2,003	1,676	1,267	1,352	1,468	1,475	1,389	943	734	632	359	147	47	15	10
2020.2/4	광진구	군자동	외국인	2,055	49	46	12	134	762	417	229	118	64	44	58	68	40	10	2	-	-	2	-	-	-
2020.2/4	광진구	중곡1동	계	16,201	459	386	322	471	1,025	1,772	1,616	1,460	1,112	1,192	1,342	1,365	1,242	842	654	498	273	104	47	10	9
2020.2/4	광진구	중곡1동	한국인	15,759	437	372	319	461	993	1,735	1,554	1,425	1,073	1,160	1,291	1,304	1,212	835	652	496	270	104	47	10	9
2020.2/4	광진구	중곡1동	외국인	442	22	14	3	10	32	37	62	35	39	32	51	61	30	7	2	2	3	-	-	-	-
2020.2/4	광진구	중곡2동	계	22,500	567	720	689	765	1,487	2,525	2,130	1,958	1,439	1,679	1,809	1,908	1,674	1,090	855	628	363	125	64	16	9
2020.2/4	광진구	중곡2동	한국인	22,159	556	713	683	756	1,454	2,484	2,095	1,918	1,415	1,647	1,776	1,865	1,655	1,083	855	627	363	125	64	16	9
2020.2/4	광진구	중곡2동	외국인	341	11	7	6	9	33	41	35	40	24	32	33	43	19	7	-	1	-	-	-	-	-
2020.2/4	광진구	중곡3동	계	17,126	373	434	440	604	1,107	1,624	1,499	1,320	1,123	1,334	1,499	1,569	1,433	938	736	565	325	128	52	9	14
2020.2/4	광진구	중곡3동	한국인	16,881	360	430	438	601	1,093	1,600	1,465	1,295	1,105	1,315	1,470	1,526	1,421	934	735	565	325	128	52	9	14
2020.2/4	광진구	중곡3동	외국인	245	13	4	2	3	14	24	34	25	18	19	29	43	12	4	1	-	-	-	-	-	-
2020.2/4	광진구	중곡4동	계	30,320	805	851	830	1,257	2,064	2,538	2,383	2,295	2,015	2,384	2,805	2,672	2,530	1,742	1,324	958	506	231	74	28	28
2020.2/4	광진구	중곡4동	한국인	29,894	788	822	815	1,238	2,040	2,499	2,308	2,248	1,976	2,351	2,773	2,642	2,510	1,737	1,323	958	505	231	74	28	28
2020.2/4	광진구	중곡4동	외국인	426	17	29	15	19	24	39	75	47	39	33	32	30	20	5	1	-	1	-	-	-	-
2020.2/4	광진구	능동	계	12,046	338	289	234	332	840	1,676	1,578	1,224	864	802	782	736	751	510	424	320	214	79	33	16	4
2020.2/4	광진구	능동	한국인	11,684	316	278	231	325	797	1,604	1,514	1,180	843	791	765	711	735	506	423	320	214	79	33	15	4
2020.2/4	광진구	능동	외국인	362	22	11	3	7	43	72	64	44	21	11	17	25	16	4	1	-	-	-	-	1	-
2020.2/4	광진구	구의1동	계	23,006	492	485	506	760	1,853	3,085	2,512	1,963	1,613	1,731	1,761	1,712	1,482	980	822	616	409	148	47	15	14
2020.2/4	광진구	구의1동	한국인	22,295	468	462	488	751	1,809	3,016	2,424	1,910	1,565	1,680	1,677	1,575	1,436	972	815	614	409	148	47	15	14
2020.2/4	광진구	구의1동	외국인	711	24	23	18	9	44	69	88	53	48	51	84	137	46	8	7	2	-	-	-	-	-
2020.2/4	광진구	구의2동	계	27,620	881	1,055	1,110	1,366	1,716	2,102	1,914	2,178	2,113	2,445	2,328	2,256	2,019	1,405	1,118	793	498	205	65	29	24
2020.2/4	광진구	구의2동	한국인	27,160	852	1,023	1,073	1,344	1,695	2,051	1,867	2,109	2,069	2,415	2,297	2,227	2,008	1,404	1,115	792	496	205	65	29	24
2020.2/4	광진구	구의2동	외국인	460	29	32	37	22	21	51	47	69	44	30	31	29	11	1	3	1	2	-	-	-	-
2020.2/4	광진구	구의3동	계	29,813	961	1,012	1,153	1,450	2,147	2,700	2,536	2,265	2,123	2,583	2,598	2,339	2,089	1,346	954	719	464	245	98	20	11
2020.2/4	광진구	구의3동	한국인	29,509	946	1,009	1,150	1,444	2,138	2,674	2,483	2,238	2,098	2,553	2,556	2,300	2,073	1,338	952	719	464	245	98	20	11
2020.2/4	광진구	구의3동	외국인	304	15	3	3	6	9	26	53	27	25	30	42	39	16	8	2	-	-	-	-	-	-
2020.2/4	광진구	광장동	계	35,934	1,013	2,445	3,051	2,566	2,234	1,927	1,627	2,471	3,543	4,296	3,081	2,283	1,774	1,188	803	678	539	264	112	28	11
2020.2/4	광진구	광장동	한국인	35,749	1,010	2,436	3,040	2,557	2,220	1,904	1,602	2,438	3,531	4,284	3,073	2,274	1,765	1,184	801	677	539	263	112	28	11
2020.2/4	광진구	광장동	외국인	185	3	9	11	9	14	23	25	33	12	12	8	9	9	4	2	1	-	1	-	-	-
2020.2/4	광진구	자양1동	계	23,875	520	617	699	861	1,801	2,674	2,138	1,891	1,746	1,881	2,018	1,973	1,754	1,114	833	702	401	161	63	14	14
2020.2/4	광진구	자양1동	한국인	22,856	497	586	682	852	1,736	2,581	2,049	1,801	1,667	1,787	1,883	1,784	1,678	1,100	828	697	396	161	63	14	14
2020.2/4	광진구	자양1동	외국인	1,019	23	31	17	9	65	93	89	90	79	94	135	189	76	14	5	5	5	-	-	-	-
2020.2/4	광진구	자양2동	계	26,607	807	973	883	1,104	1,754	2,229	2,097	2,116	2,073	2,176	2,200	2,256	2,112	1,462	939	733	406	182	72	21	12
2020.2/4	광진구	자양2동	한국인	26,185	787	953	877	1,096	1,738	2,193	2,056	2,069	2,043	2,138	2,140	2,199	2,073	1,458	939	733	406	182	72	21	12
2020.2/4	광진구	자양2동	외국인	422	20	20	6	8	16	36	41	47	30	38	60	57	39	4	-	-	-	-	-	-	-
2020.2/4	광진구	자양3동	계	29,210	1,084	1,358	1,273	1,396	1,916	2,157	2,072	2,413	2,221	2,490	2,413	2,332	2,130	1,402	885	717	510	310	94	24	13
2020.2/4	광진구	자양3동	한국인	28,939	1,077	1,350	1,270	1,393	1,898	2,131	2,046	2,377	2,205	2,460	2,388	2,302	2,098	1,395	883	716	509	310	94	24	13
2020.2/4	광진구	자양3동	외국인	271	7	8	3	3	18	26	26	36	16	30	25	30	32	7	2	1	1	-	-	-	-
2020.2/4	광진구	자양4동	계	22,397	465	473	410	598	1,677	2,005	1,709	1,580	1,374	1,792	2,096	2,456	2,081	1,320	974	688	426	178	61	18	16
2020.2/4	광진구	자양4동	한국인	18,192	375	382	362	553	1,114	1,616	1,386	1,303	1,136	1,431	1,534	1,710	1,712	1,247	954	684	424	175	61	18	15
2020.2/4	광진구	자양4동	외국인	4,205	90	91	48	45	563	389	323	277	238	361	562	746	369	73	20	4	2	3	-	-	1
2020.2/4	동대문구	소계	계	360,380	10,226	11,660	11,176	13,971	31,953	33,063	25,825	27,255	24,853	27,811	27,730	27,500	26,540	19,575	15,383	12,787	7,697	3,482	1,216	375	302
2020.2/4	동대문구	소계	한국인	345,593	10,016	11,485	11,072	13,594	26,153	29,973	24,475	26,514	24,296	27,297	27,130	26,801	26,171	19,461	15,339	12,774	7,681	3,472	1,212	375	302
2020.2/4	동대문구	소계	외국인	14,787	210	175	104	377	5,800	3,090	1,350	741	557	514	600	699	369	114	44	13	16	10	4	-	-
2020.2/4	동대문구	회기동	계	12,679	181	301	303	512	2,984	2,092	934	675	676	700	632	607	539	434	361	342	232	104	47	12	11
2020.2/4	동대문구	회기동	한국인	10,396	174	296	303	434	1,583	1,523	814	640	657	685	619	595	536	432	360	341	230	104	47	12	11
2020.2/4	동대문구	회기동	외국인	2,283	7	5	-	78	1,401	569	120	35	19	15	13	12	3	2	1	1	2	-	-	-	-
2020.2/4	동대문구	휘경1동	계	15,421	447	365	310	585	2,484	2,009	1,162	1,162	830	963	1,124	943	863	687	558	444	290	123	48	15	9
2020.2/4	동대문구	휘경1동	한국인	13,731	440	361	309	523	1,556	1,570	1,070	1,125	801	933	1,107	921	849	682	557	444	289	122	48	15	9
2020.2/4	동대문구	휘경1동	외국인	1,690	7	4	1	62	928	439	92	37	29	30	17	22	14	5	1	-	1	1	-	-	-
2020.2/4	동대문구	휘경2동	계	25,132	583	765	955	1,224	2,978	2,683	1,603	1,559	1,655	1,979	1,876	1,728	1,685	1,262	1,001	810	461	205	85	23	12
2020.2/4	동대문구	휘경2동	한국인	24,450	566	750	945	1,216	2,746	2,509	1,516	1,532	1,624	1,958	1,863	1,704	1,668	1,258	1,000	810	461	204	85	23	12
2020.2/4	동대문구	휘경2동	외국인	682	17	15	10	8	232	174	87	27	31	21	13	24	17	4	1	-	-	1	-	-	-
2020.2/4	동대문구	청량리동	계	21,588	367	543	527	697	1,210	1,425	1,246	1,320	1,233	1,583	1,801	2,091	2,214	1,648	1,333	1,161	682	328	123	25	31
2020.2/4	동대문구	청량리동	한국인	20,969	357	532	522	691	1,127	1,365	1,176	1,270	1,190	1,539	1,727	2,004	2,165	1,632	1,329	1,160	679	325	123	25	31
2020.2/4	동대문구	청량리동	외국인	619	10	11	5	6	83	60	70	50	43	44	74	87	49	16	4	1	3	3	-	-	-
2020.2/4	동대문구	용신동	계	32,379	685	712	638	870	2,578	3,879	2,996	2,533	2,084	2,364	2,384	2,633	2,412	1,712	1,397	1,194	792	328	110	54	24
2020.2/4	동대문구	용신동	한국인	30,917	647	684	620	858	2,317	3,648	2,849	2,425	1,989	2,263	2,259	2,460	2,328	1,688	1,390	1,190	789	327	108	54	24
2020.2/4	동대문구	용신동	외국인	1,462	38	28	18	12	261	231	147	108	95	101	125	173	84	24	7	4	3	1	2	-	-
2020.2/4	동대문구	제기동	계	27,137	525	590	612	924	3,070	2,722	1,842	1,752	1,495	1,781	1,972	2,032	2,223	1,696	1,428	1,173	756	368	111	40	25
2020.2/4	동대문구	제기동	한국인	24,981	506	572	601	841	2,028	2,277	1,690	1,670	1,443	1,733	1,922	1,943	2,182	1,678	1,423	1,173	756	367	111	40	25
2020.2/4	동대문구	제기동	외국인	2,156	19	18	11	83	1,042	445	152	82	52	48	50	89	41	18	5	-	-	1	-	-	-
2020.2/4	동대문구	전농1동	계	31,016	978	993	866	1,173	2,252	2,598	2,178	2,381	2,098	2,418	2,492	2,580	2,465	1,728	1,357	1,194	744	338	102	38	43
2020.2/4	동대문구	전농1동	한국인	30,471	965	982	859	1,159	2,172	2,510	2,108	2,334	2,059	2,392	2,446	2,531	2,434	1,719	1,348	1,192	741	338	101	38	43
2020.2/4	동대문구	전농1동	외국인	545	13	11	7	14	80	88	70	47	39	26	46	49	31	9	9	2	3	-	1	-	-
2020.2/4	동대문구	전농2동	계	19,753	537	777	840	970	1,271	1,328	1,090	1,373	1,441	1,707	1,736	1,588	1,517	1,153	832	790	514	199	65	14	11
2020.2/4	동대문구	전농2동	한국인	19,405	533	771	834	965	1,179	1,239	1,033	1,339	1,422	1,689	1,728	1,582	1,514	1,152	832	790	514	199	65	14	11
2020.2/4	동대문구	전농2동	외국인	348	4	6	6	5	92	89	57	34	19	18	8	6	3	1	-	-	-	-	-	-	-
2020.2/4	동대문구	답십리2동	계	30,108	945	958	951	1,172	1,828	2,264	2,274	2,321	2,087	2,449	2,528	2,587	2,362	1,784	1,336	1,162	647	310	101	21	21
2020.2/4	동대문구	답십리2동	한국인	29,807	936	953	942	1,169	1,783	2,236	2,233	2,287	2,064	2,427	2,497	2,552	2,352	1,781	1,334	1,162	647	310	100	21	21
2020.2/4	동대문구	답십리2동	외국인	301	9	5	9	3	45	28	41	34	23	22	31	35	10	3	2	-	-	-	1	-	-
2020.2/4	동대문구	장안1동	계	39,319	1,288	1,379	1,277	1,409	2,241	3,115	3,113	3,458	3,232	3,300	3,114	3,109	3,095	2,274	1,634	1,203	617	290	107	40	24
2020.2/4	동대문구	장안1동	한국인	38,706	1,272	1,363	1,267	1,400	2,203	3,037	3,017	3,388	3,182	3,249	3,037	3,060	3,062	2,262	1,630	1,202	615	289	107	40	24
2020.2/4	동대문구	장안1동	외국인	613	16	16	10	9	38	78	96	70	50	51	77	49	33	12	4	1	2	1	-	-	-
2020.2/4	동대문구	장안2동	계	33,552	1,363	1,655	1,477	1,426	1,870	2,128	2,255	3,115	2,929	2,941	2,582	2,485	2,399	1,806	1,295	960	496	239	85	29	17
2020.2/4	동대문구	장안2동	한국인	33,240	1,356	1,645	1,474	1,420	1,848	2,089	2,208	3,077	2,895	2,915	2,553	2,451	2,389	1,801	1,294	960	495	239	85	29	17
2020.2/4	동대문구	장안2동	외국인	312	7	10	3	6	22	39	47	38	34	26	29	34	10	5	1	-	1	-	-	-	-
2020.2/4	동대문구	이문1동	계	21,427	338	433	555	921	3,859	2,911	1,402	1,112	1,175	1,464	1,401	1,302	1,304	918	787	739	473	201	78	19	35
2020.2/4	동대문구	이문1동	한국인	18,593	311	418	545	842	2,460	2,206	1,157	1,031	1,102	1,407	1,350	1,254	1,273	912	783	737	473	200	78	19	35
2020.2/4	동대문구	이문1동	외국인	2,834	27	15	10	79	1,399	705	245	81	73	57	51	48	31	6	4	2	-	1	-	-	-
2020.2/4	동대문구	이문2동	계	21,226	573	797	902	1,022	1,531	1,561	1,194	1,484	1,504	1,841	1,859	1,635	1,532	1,194	999	811	471	211	81	16	8
2020.2/4	동대문구	이문2동	한국인	20,721	555	784	895	1,018	1,396	1,488	1,140	1,433	1,473	1,816	1,830	1,601	1,512	1,188	996	810	471	210	81	16	8
2020.2/4	동대문구	이문2동	외국인	505	18	13	7	4	135	73	54	51	31	25	29	34	20	6	3	1	-	1	-	-	-
2020.2/4	동대문구	답십리1동	계	29,643	1,416	1,392	963	1,066	1,797	2,348	2,536	3,010	2,414	2,321	2,229	2,180	1,930	1,279	1,065	804	522	238	73	29	31
2020.2/4	동대문구	답십리1동	한국인	29,206	1,398	1,374	956	1,058	1,755	2,276	2,464	2,963	2,395	2,291	2,192	2,143	1,907	1,276	1,063	803	521	238	73	29	31
2020.2/4	동대문구	답십리1동	외국인	437	18	18	7	8	42	72	72	47	19	30	37	37	23	3	2	1	1	-	-	-	-
2020.2/4	중랑구	소계	계	399,415	11,131	12,857	12,539	15,194	24,624	32,492	29,202	30,406	27,540	31,555	34,680	36,235	33,323	23,529	17,654	13,352	7,880	3,454	1,236	333	199
2020.2/4	중랑구	소계	한국인	394,414	10,943	12,692	12,428	15,097	24,168	31,863	28,465	29,889	27,158	31,161	34,230	35,736	33,059	23,462	17,620	13,347	7,878	3,450	1,236	333	199
2020.2/4	중랑구	소계	외국인	5,001	188	165	111	97	456	629	737	517	382	394	450	499	264	67	34	5	2	4	-	-	-
2020.2/4	중랑구	면목2동	계	25,664	650	739	773	928	1,574	1,946	1,746	1,805	1,804	2,110	2,506	2,571	2,121	1,493	1,136	912	496	235	83	24	12
2020.2/4	중랑구	면목2동	한국인	25,309	637	729	766	921	1,555	1,899	1,691	1,757	1,783	2,093	2,472	2,521	2,100	1,490	1,133	912	496	235	83	24	12
2020.2/4	중랑구	면목2동	외국인	355	13	10	7	7	19	47	55	48	21	17	34	50	21	3	3	-	-	-	-	-	-
2020.2/4	중랑구	면목4동	계	19,597	537	613	567	701	1,161	1,414	1,348	1,522	1,501	1,573	1,719	1,677	1,650	1,223	1,011	791	359	138	55	27	10
2020.2/4	중랑구	면목4동	한국인	19,286	522	602	555	693	1,147	1,382	1,299	1,488	1,479	1,542	1,694	1,639	1,640	1,215	1,011	790	358	138	55	27	10
2020.2/4	중랑구	면목4동	외국인	311	15	11	12	8	14	32	49	34	22	31	25	38	10	8	-	1	1	-	-	-	-
2020.2/4	중랑구	면목5동	계	9,675	263	264	290	363	540	732	729	723	610	853	944	877	832	571	447	347	186	72	24	4	4
2020.2/4	중랑구	면목5동	한국인	9,556	261	260	289	363	533	722	713	702	602	839	931	862	827	569	446	347	186	72	24	4	4
2020.2/4	중랑구	면목5동	외국인	119	2	4	1	-	7	10	16	21	8	14	13	15	5	2	1	-	-	-	-	-	-
2020.2/4	중랑구	면목7동	계	22,825	661	618	585	746	1,301	1,864	1,824	1,755	1,530	1,751	1,951	2,111	2,016	1,458	1,098	803	436	218	69	18	12
2020.2/4	중랑구	면목7동	한국인	22,477	647	600	578	739	1,280	1,823	1,757	1,729	1,501	1,722	1,922	2,073	1,998	1,456	1,097	802	436	218	69	18	12
2020.2/4	중랑구	면목7동	외국인	348	14	18	7	7	21	41	67	26	29	29	29	38	18	2	1	1	-	-	-	-	-
2020.2/4	중랑구	상봉1동	계	25,299	899	1,054	931	1,121	1,672	2,030	1,842	1,929	1,749	1,931	2,207	2,341	2,018	1,223	925	695	468	175	71	16	2
2020.2/4	중랑구	상봉1동	한국인	25,133	894	1,051	927	1,120	1,662	2,000	1,810	1,912	1,737	1,919	2,192	2,334	2,008	1,218	922	695	468	175	71	16	2
2020.2/4	중랑구	상봉1동	외국인	166	5	3	4	1	10	30	32	17	12	12	15	7	10	5	3	-	-	-	-	-	-
2020.2/4	중랑구	상봉2동	계	20,036	477	359	347	531	1,358	2,632	2,307	1,849	1,245	1,415	1,575	1,634	1,414	1,025	758	584	311	135	51	18	11
2020.2/4	중랑구	상봉2동	한국인	19,714	461	351	341	529	1,334	2,586	2,253	1,815	1,224	1,399	1,544	1,595	1,395	1,022	755	584	311	135	51	18	11
2020.2/4	중랑구	상봉2동	외국인	322	16	8	6	2	24	46	54	34	21	16	31	39	19	3	3	-	-	-	-	-	-
2020.2/4	중랑구	중화1동	계	20,699	668	681	649	756	1,219	1,796	1,647	1,715	1,418	1,489	1,604	1,896	1,750	1,269	893	615	402	156	61	10	5
2020.2/4	중랑구	중화1동	한국인	20,515	659	679	644	755	1,212	1,773	1,617	1,694	1,396	1,476	1,584	1,879	1,739	1,267	892	615	402	156	61	10	5
2020.2/4	중랑구	중화1동	외국인	184	9	2	5	1	7	23	30	21	22	13	20	17	11	2	1	-	-	-	-	-	-
2020.2/4	중랑구	중화2동	계	26,666	589	565	503	787	1,666	2,297	1,979	1,909	1,684	2,069	2,525	2,738	2,463	1,656	1,250	1,029	607	243	77	13	17
2020.2/4	중랑구	중화2동	한국인	26,135	581	552	492	780	1,624	2,244	1,920	1,864	1,632	2,025	2,459	2,670	2,420	1,647	1,243	1,028	606	241	77	13	17
2020.2/4	중랑구	중화2동	외국인	531	8	13	11	7	42	53	59	45	52	44	66	68	43	9	7	1	1	2	-	-	-
2020.2/4	중랑구	묵1동	계	35,885	1,102	1,458	1,517	1,710	2,261	2,735	2,452	2,742	2,832	3,179	2,822	2,827	2,628	1,958	1,445	1,107	689	279	95	25	22
2020.2/4	중랑구	묵1동	한국인	35,700	1,099	1,457	1,516	1,703	2,240	2,711	2,429	2,715	2,816	3,163	2,804	2,814	2,619	1,953	1,444	1,107	689	279	95	25	22
2020.2/4	중랑구	묵1동	외국인	185	3	1	1	7	21	24	23	27	16	16	18	13	9	5	1	-	-	-	-	-	-
2020.2/4	중랑구	묵2동	계	19,789	580	597	605	672	1,180	1,676	1,586	1,620	1,419	1,565	1,555	1,688	1,665	1,270	855	669	373	139	50	13	12
2020.2/4	중랑구	묵2동	한국인	19,554	574	591	598	667	1,158	1,648	1,545	1,603	1,405	1,545	1,534	1,660	1,654	1,264	853	668	373	139	50	13	12
2020.2/4	중랑구	묵2동	외국인	235	6	6	7	5	22	28	41	17	14	20	21	28	11	6	2	1	-	-	-	-	-
2020.2/4	중랑구	망우3동	계	17,770	412	497	520	745	1,148	1,335	1,135	1,198	1,058	1,489	1,724	1,700	1,618	1,089	856	609	358	183	69	12	15
2020.2/4	중랑구	망우3동	한국인	17,378	385	468	504	730	1,100	1,279	1,069	1,163	1,033	1,470	1,703	1,680	1,607	1,086	855	609	358	183	69	12	15
2020.2/4	중랑구	망우3동	외국인	392	27	29	16	15	48	56	66	35	25	19	21	20	11	3	1	-	-	-	-	-	-
2020.2/4	중랑구	신내1동	계	40,611	1,364	2,247	2,010	1,849	2,407	2,691	2,348	3,097	3,056	3,098	3,272	3,468	3,195	2,234	1,638	1,200	810	396	166	48	17
2020.2/4	중랑구	신내1동	한국인	40,459	1,358	2,239	2,010	1,845	2,400	2,679	2,324	3,071	3,045	3,083	3,256	3,458	3,188	2,229	1,637	1,200	810	396	166	48	17
2020.2/4	중랑구	신내1동	외국인	152	6	8	-	4	7	12	24	26	11	15	16	10	7	5	1	-	-	-	-	-	-
2020.2/4	중랑구	신내2동	계	21,616	667	789	834	971	1,220	1,465	1,390	1,650	1,578	1,745	1,785	1,861	1,836	1,357	944	685	491	244	81	17	6
2020.2/4	중랑구	신내2동	한국인	21,525	667	787	834	971	1,216	1,448	1,373	1,639	1,568	1,737	1,778	1,850	1,833	1,356	944	685	491	244	81	17	6
2020.2/4	중랑구	신내2동	외국인	91	-	2	-	-	4	17	17	11	10	8	7	11	3	1	-	-	-	-	-	-	-
2020.2/4	중랑구	면목본동	계	35,927	887	924	890	1,250	2,307	3,209	2,921	2,778	2,425	2,929	3,329	3,290	2,858	2,030	1,586	1,225	663	285	84	31	26
2020.2/4	중랑구	면목본동	한국인	35,084	859	900	873	1,231	2,175	3,090	2,821	2,696	2,368	2,859	3,267	3,217	2,805	2,025	1,585	1,224	663	285	84	31	26
2020.2/4	중랑구	면목본동	외국인	843	28	24	17	19	132	119	100	82	57	70	62	73	53	5	1	1	-	-	-	-	-
2020.2/4	중랑구	면목3.8동	계	26,494	626	647	663	963	1,699	2,278	1,910	1,961	1,665	2,075	2,376	2,429	2,360	1,613	1,325	973	574	242	85	20	10
2020.2/4	중랑구	면목3.8동	한국인	26,073	605	634	655	953	1,648	2,216	1,854	1,920	1,630	2,039	2,340	2,399	2,347	1,609	1,320	973	574	242	85	20	10
2020.2/4	중랑구	면목3.8동	외국인	421	21	13	8	10	51	62	56	41	35	36	36	30	13	4	5	-	-	-	-	-	-
2020.2/4	중랑구	망우본동	계	30,862	749	805	855	1,101	1,911	2,392	2,038	2,153	1,966	2,284	2,786	3,127	2,899	2,060	1,487	1,108	657	314	115	37	18
2020.2/4	중랑구	망우본동	한국인	30,516	734	792	846	1,097	1,884	2,363	1,990	2,121	1,939	2,250	2,750	3,085	2,879	2,056	1,483	1,108	657	312	115	37	18
2020.2/4	중랑구	망우본동	외국인	346	15	13	9	4	27	29	48	32	27	34	36	42	20	4	4	-	-	2	-	-	-
2020.2/4	성북구	소계	계	452,290	13,208	17,187	17,443	21,483	36,515	36,466	29,751	33,286	32,607	39,634	36,768	33,715	31,405	22,834	18,498	15,276	9,582	4,272	1,587	397	376
2020.2/4	성북구	소계	한국인	441,812	13,036	17,021	17,342	21,097	32,749	34,393	28,641	32,593	32,142	39,228	36,356	33,367	31,196	22,748	18,461	15,252	9,569	4,263	1,587	396	375
2020.2/4	성북구	소계	외국인	10,478	172	166	101	386	3,766	2,073	1,110	693	465	406	412	348	209	86	37	24	13	9	-	1	1
2020.2/4	성북구	돈암1동	계	15,657	418	458	548	871	1,068	1,090	1,036	1,013	945	1,355	1,432	1,360	1,247	907	724	552	367	181	65	7	13
2020.2/4	성북구	돈암1동	한국인	15,561	414	457	548	871	1,051	1,073	1,020	1,003	937	1,347	1,427	1,350	1,247	907	724	552	367	181	65	7	13
2020.2/4	성북구	돈암1동	외국인	96	4	1	-	-	17	17	16	10	8	8	5	10	-	-	-	-	-	-	-	-	-
2020.2/4	성북구	돈암2동	계	24,837	814	1,346	1,463	1,417	1,533	1,488	1,360	1,784	2,029	2,621	2,207	1,846	1,576	1,078	807	668	427	241	105	16	11
2020.2/4	성북구	돈암2동	한국인	24,742	813	1,340	1,459	1,415	1,529	1,479	1,351	1,776	2,014	2,607	2,197	1,841	1,570	1,077	806	668	427	241	105	16	11
2020.2/4	성북구	돈암2동	외국인	95	1	6	4	2	4	9	9	8	15	14	10	5	6	1	1	-	-	-	-	-	-
2020.2/4	성북구	안암동	계	17,101	236	276	298	728	3,311	2,869	1,343	982	803	1,024	1,161	1,010	878	632	528	506	297	151	45	8	15
