기간	자치구	연령별	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)	인구(혼인상태별)
2015	마포구	25~29	31,076	3,397	3	40	27,636	14,478	889	-	8	13,581	16,598	2,508	3	32	14,055
2015	마포구	30~34	36,659	15,484	7	313	20,855	17,818	6,570	7	140	11,101	18,841	8,914	-	173	9,754
2015	마포구	35~39	32,977	20,616	80	638	11,643	16,095	9,748	35	190	6,122	16,882	10,868	45	448	5,521
2015	마포구	40~44	33,751	23,432	157	1,792	8,370	16,960	11,819	57	557	4,527	16,791	11,613	100	1,235	3,843
2015	마포구	45~49	28,685	21,091	420	2,600	4,574	14,208	10,657	85	1,013	2,453	14,477	10,434	335	1,587	2,121
2015	마포구	50~54	26,541	20,268	841	2,863	2,569	12,704	9,981	145	1,111	1,467	13,837	10,287	696	1,752	1,102
2015	마포구	55~59	25,288	19,753	1,621	2,410	1,504	12,031	10,077	259	931	764	13,257	9,676	1,362	1,479	740
2015	마포구	60~64	18,283	13,984	2,045	1,619	635	8,460	7,230	323	633	274	9,823	6,754	1,722	986	361
2015	마포구	65~69	14,979	10,902	2,717	1,021	339	6,578	5,592	368	467	151	8,401	5,310	2,349	554	188
2015	마포구	70~74	12,946	8,682	3,497	600	167	5,742	4,954	410	286	92	7,204	3,728	3,087	314	75
2015	마포구	75~79	9,418	5,479	3,654	198	87	4,121	3,538	464	111	8	5,297	1,941	3,190	87	79
2015	마포구	80~84	5,153	2,310	2,744	62	37	1,933	1,580	329	19	5	3,220	730	2,415	43	32
2015	마포구	85세 이상	3,140	827	2,267	15	31	965	722	234	6	3	2,175	105	2,033	9	28
2015	양천구	계	394,857	224,512	22,326	18,829	129,190	193,514	113,050	3,063	7,229	70,172	201,343	111,462	19,263	11,600	59,018
2015	양천구	 15~19	33,308	12	-	-	33,296	17,812	7	-	-	17,805	15,496	5	-	-	15,491
2015	양천구	20~24	31,564	230	1	24	31,309	16,502	38	1	18	16,445	15,062	192	-	6	14,864
2015	양천구	25~29	27,744	3,128	1	56	24,559	13,659	980	1	14	12,664	14,085	2,148	-	42	11,895
2015	양천구	30~34	32,462	15,054	8	329	17,071	16,244	6,379	1	124	9,740	16,218	8,675	7	205	7,331
2015	양천구	35~39	32,610	22,177	73	987	9,373	15,856	10,218	9	349	5,280	16,754	11,959	64	638	4,093
2015	양천구	40~44	40,979	32,643	231	2,014	6,091	18,984	14,569	30	532	3,853	21,995	18,074	201	1,482	2,238
2015	양천구	45~49	45,264	37,620	614	3,521	3,509	22,127	18,615	138	1,186	2,188	23,137	19,005	476	2,335	1,321
2015	양천구	50~54	41,153	34,366	1,100	3,775	1,912	20,751	18,024	194	1,363	1,170	20,402	16,342	906	2,412	742
2015	양천구	55~59	36,076	29,616	1,870	3,445	1,145	17,593	15,239	265	1,425	664	18,483	14,377	1,605	2,020	481
2015	양천구	60~64	25,275	20,198	2,514	2,146	417	12,508	11,003	376	950	179	12,767	9,195	2,138	1,196	238
2015	양천구	65~69	18,251	13,760	2,995	1,293	203	9,262	8,160	401	614	87	8,989	5,600	2,594	679	116
2015	양천구	70~74	12,927	8,465	3,551	780	131	6,171	5,169	514	443	45	6,756	3,296	3,037	337	86
2015	양천구	75~79	8,708	4,581	3,723	311	93	3,500	2,809	497	154	40	5,208	1,772	3,226	157	53
2015	양천구	80~84	4,980	1,845	3,001	99	35	1,629	1,267	332	21	9	3,351	578	2,669	78	26
2015	양천구	85세 이상	3,556	817	2,644	49	46	916	573	304	36	3	2,640	244	2,340	13	43
2015	강서구	계	489,344	266,086	31,244	28,188	163,826	236,868	133,441	4,208	10,966	88,253	252,476	132,645	27,036	17,222	75,573
2015	강서구	 15~19	29,832	32	-	-	29,800	15,259	8	-	-	15,251	14,573	24	-	-	14,549
2015	강서구	20~24	36,548	472	6	20	36,050	18,417	134	-	2	18,281	18,131	338	6	18	17,769
2015	강서구	25~29	41,382	5,910	15	134	35,323	19,798	1,818	2	33	17,945	21,584	4,092	13	101	17,378
2015	강서구	30~34	53,356	26,099	8	492	26,757	27,098	11,425	4	201	15,468	26,258	14,674	4	291	11,289
2015	강서구	35~39	48,899	32,353	99	1,293	15,154	24,806	15,442	15	452	8,897	24,093	16,911	84	841	6,257
2015	강서구	40~44	47,186	34,736	234	2,951	9,265	23,830	17,171	29	1,116	5,514	23,356	17,565	205	1,835	3,751
2015	강서구	45~49	43,098	32,848	752	4,641	4,857	20,796	16,001	104	1,612	3,079	22,302	16,847	648	3,029	1,778
2015	강서구	50~54	44,464	34,531	1,550	5,746	2,637	21,091	17,115	164	2,190	1,622	23,373	17,416	1,386	3,556	1,015
2015	강서구	55~59	45,630	34,814	3,078	5,751	1,987	21,420	17,438	527	2,182	1,273	24,210	17,376	2,551	3,569	714
2015	강서구	60~64	33,508	25,400	3,795	3,381	932	15,681	13,243	547	1,381	510	17,827	12,157	3,248	2,000	422
2015	강서구	65~69	24,932	17,790	4,583	2,063	496	12,152	10,360	590	978	224	12,780	7,430	3,993	1,085	272
2015	강서구	70~74	17,220	11,246	4,586	1,119	269	8,308	6,878	735	566	129	8,912	4,368	3,851	553	140
2015	강서구	75~79	11,387	6,229	4,608	388	162	4,633	3,874	545	161	53	6,754	2,355	4,063	227	109
2015	강서구	80~84	6,862	2,613	4,080	137	32	2,303	1,755	485	63	-	4,559	858	3,595	74	32
2015	강서구	85세 이상	5,040	1,013	3,850	72	105	1,276	779	461	29	7	3,764	234	3,389	43	98
2015	구로구	계	352,145	199,935	21,259	16,238	114,713	174,258	100,951	3,116	6,755	63,436	177,887	98,984	18,143	9,483	51,277
2015	구로구	 15~19	20,111	14	2	1	20,094	10,495	1	1	1	10,492	9,616	13	1	-	9,602
2015	구로구	20~24	25,018	269	6	25	24,718	12,664	60	1	6	12,597	12,354	209	5	19	12,121
2015	구로구	25~29	28,312	3,407	13	70	24,822	13,849	935	2	22	12,890	14,463	2,472	11	48	11,932
2015	구로구	30~34	37,143	17,937	23	292	18,891	18,532	7,561	3	100	10,868	18,611	10,376	20	192	8,023
2015	구로구	35~39	36,023	24,338	82	867	10,736	18,698	11,846	8	308	6,536	17,325	12,492	74	559	4,200
2015	구로구	40~44	34,083	24,759	293	1,906	7,125	17,891	12,546	93	720	4,532	16,192	12,213	200	1,186	2,593
2015	구로구	45~49	31,004	23,635	371	2,962	4,036	15,525	11,385	76	1,263	2,801	15,479	12,250	295	1,699	1,235
2015	구로구	50~54	31,179	24,852	1,122	3,157	2,048	15,255	12,479	196	1,240	1,340	15,924	12,373	926	1,917	708
2015	구로구	55~59	32,310	26,173	1,822	3,112	1,203	15,198	12,722	275	1,299	902	17,112	13,451	1,547	1,813	301
2015	구로구	60~64	25,255	20,467	2,492	1,785	511	12,198	10,714	436	789	259	13,057	9,753	2,056	996	252
2015	구로구	65~69	20,185	15,609	3,098	1,189	289	10,098	9,059	310	587	142	10,087	6,550	2,788	602	147
2015	구로구	70~74	14,453	10,215	3,575	526	137	7,041	6,128	594	260	59	7,412	4,087	2,981	266	78
2015	구로구	75~79	9,437	5,594	3,556	241	46	4,320	3,644	553	122	1	5,117	1,950	3,003	119	45
2015	구로구	80~84	4,707	1,937	2,675	62	33	1,742	1,334	368	24	16	2,965	603	2,307	38	17
2015	구로구	85세 이상	2,925	729	2,129	43	24	752	537	200	14	1	2,173	192	1,929	29	23
2015	금천구	계	201,385	103,201	13,343	13,377	71,464	102,199	52,671	2,036	5,681	41,811	99,186	50,530	11,307	7,696	29,653
2015	금천구	 15~19	11,653	6	-	-	11,647	5,968	5	-	-	5,963	5,685	1	-	-	5,684
2015	금천구	20~24	15,335	286	14	20	15,015	7,968	124	5	10	7,829	7,367	162	9	10	7,186
2015	금천구	25~29	17,407	2,042	10	49	15,306	9,482	665	8	19	8,790	7,925	1,377	2	30	6,516
2015	금천구	30~34	19,193	7,563	7	270	11,353	10,506	3,435	5	61	7,005	8,687	4,128	2	209	4,348
2015	금천구	35~39	17,082	9,887	18	651	6,526	9,258	4,764	10	227	4,257	7,824	5,123	8	424	2,269
2015	금천구	40~44	18,039	11,808	116	1,430	4,685	9,369	5,723	20	471	3,155	8,670	6,085	96	959	1,530
2015	금천구	45~49	19,192	13,295	334	2,469	3,094	9,682	6,463	66	946	2,207	9,510	6,832	268	1,523	887
2015	금천구	50~54	20,422	15,042	776	2,648	1,956	10,220	7,348	146	1,214	1,512	10,202	7,694	630	1,434	444
2015	금천구	55~59	19,216	14,424	1,178	2,658	956	9,477	7,459	162	1,221	635	9,739	6,965	1,016	1,437	321
2015	금천구	60~64	14,312	10,681	1,631	1,553	447	6,950	5,681	279	730	260	7,362	5,000	1,352	823	187
2015	금천구	65~69	10,978	7,838	2,062	868	210	5,398	4,494	345	450	109	5,580	3,344	1,717	418	101
2015	금천구	70~74	8,565	5,752	2,281	415	117	4,120	3,512	351	197	60	4,445	2,240	1,930	218	57
2015	금천구	75~79	5,409	3,031	2,061	255	62	2,379	1,907	336	119	17	3,030	1,124	1,725	136	45
2015	금천구	80~84	2,807	1,168	1,548	61	30	1,034	849	164	16	5	1,773	319	1,384	45	25
2015	금천구	85세 이상	1,775	378	1,307	30	60	388	242	139	-	7	1,387	136	1,168	30	53
2015	영등포구	계	315,330	174,443	18,797	13,947	108,143	156,188	90,056	2,406	5,582	58,144	159,142	84,387	16,391	8,365	49,999
2015	영등포구	 15~19	16,457	1	-	-	16,456	8,592	-	-	-	8,592	7,865	1	-	-	7,864
2015	영등포구	20~24	22,587	159	2	7	22,419	11,174	41	1	6	11,126	11,413	118	1	1	11,293
2015	영등포구	25~29	28,560	3,562	17	21	24,960	13,517	1,062	9	3	12,443	15,043	2,500	8	18	12,517
2015	영등포구	30~34	34,489	14,972	8	271	19,238	17,814	6,633	-	96	11,085	16,675	8,339	8	175	8,153
2015	영등포구	35~39	30,337	19,783	44	777	9,733	15,503	9,543	1	247	5,712	14,834	10,240	43	530	4,021
2015	영등포구	40~44	29,442	20,796	115	1,701	6,830	15,529	10,687	23	754	4,065	13,913	10,109	92	947	2,765
2015	영등포구	45~49	27,933	21,357	340	2,399	3,837	14,227	10,958	25	888	2,356	13,706	10,399	315	1,511	1,481
2015	영등포구	50~54	28,018	22,498	712	2,788	2,020	14,013	11,526	124	1,087	1,276	14,005	10,972	588	1,701	744
2015	영등포구	55~59	28,557	23,239	1,431	2,522	1,365	13,991	11,990	174	975	852	14,566	11,249	1,257	1,547	513
2015	영등포구	60~64	21,279	16,991	1,981	1,650	657	10,292	9,066	271	611	344	10,987	7,925	1,710	1,039	313
2015	영등포구	65~69	17,303	13,368	2,719	937	279	8,352	7,371	355	484	142	8,951	5,997	2,364	453	137
2015	영등포구	70~74	13,195	9,160	3,393	461	181	6,154	5,447	350	248	109	7,041	3,713	3,043	213	72
2015	영등포구	75~79	9,229	5,498	3,387	258	86	4,207	3,603	447	139	18	5,022	1,895	2,940	119	68
2015	영등포구	80~84	4,963	2,295	2,520	100	48	1,952	1,534	357	39	22	3,011	761	2,163	61	26
2015	영등포구	85세 이상	2,981	764	2,128	55	34	871	595	269	5	2	2,110	169	1,859	50	32
2015	동작구	계	348,085	182,083	20,305	14,415	131,282	170,276	91,548	2,789	5,776	70,163	177,809	90,535	17,516	8,639	61,119
2015	동작구	 15~19	20,301	18	31	6	20,246	10,267	8	11	3	10,245	10,034	10	20	3	10,001
2015	동작구	20~24	30,674	155	49	19	30,451	15,548	41	21	14	15,472	15,126	114	28	5	14,979
2015	동작구	25~29	35,019	3,116	9	34	31,860	17,699	919	6	11	16,763	17,320	2,197	3	23	15,097
2015	동작구	30~34	37,997	15,631	17	257	22,092	19,731	6,954	7	124	12,646	18,266	8,677	10	133	9,446
2015	동작구	35~39	32,739	20,884	81	713	11,061	16,727	10,090	1	336	6,300	16,012	10,794	80	377	4,761
2015	동작구	40~44	31,132	21,898	178	1,520	7,536	15,991	11,006	45	570	4,370	15,141	10,892	133	950	3,166
2015	동작구	45~49	28,753	21,956	345	2,456	3,996	14,082	10,821	66	897	2,298	14,671	11,135	279	1,559	1,698
2015	동작구	50~54	28,797	23,162	883	2,968	1,784	13,672	11,215	123	1,272	1,062	15,125	11,947	760	1,696	722
2015	동작구	55~59	29,142	23,601	1,680	2,693	1,168	13,470	11,726	220	973	551	15,672	11,875	1,460	1,720	617
2015	동작구	60~64	22,561	18,460	2,073	1,501	527	10,683	9,518	308	639	218	11,878	8,942	1,765	862	309
2015	동작구	65~69	18,379	13,939	2,980	1,176	284	8,304	7,306	425	456	117	10,075	6,633	2,555	720	167
2015	동작구	70~74	14,485	10,382	3,290	650	163	6,893	6,113	374	329	77	7,592	4,269	2,916	321	86
2015	동작구	75~79	9,661	5,698	3,607	293	63	4,263	3,647	461	120	35	5,398	2,051	3,146	173	28
2015	동작구	80~84	5,197	2,374	2,711	81	31	2,030	1,583	408	32	7	3,167	791	2,303	49	24
2015	동작구	85세 이상	3,248	809	2,371	48	20	916	601	313	-	2	2,332	208	2,058	48	18
2015	관악구	계	447,355	206,304	25,954	22,555	192,542	225,354	104,944	3,646	9,229	107,535	222,001	101,360	22,308	13,326	85,007
2015	관악구	 15~19	23,062	26	-	-	23,036	11,719	15	-	-	11,704	11,343	11	-	-	11,332
2015	관악구	20~24	40,345	561	2	42	39,740	19,967	175	2	12	19,778	20,378	386	-	30	19,962
2015	관악구	25~29	55,997	4,516	7	71	51,403	29,395	1,438	-	28	27,929	26,602	3,078	7	43	23,474
2015	관악구	30~34	53,430	17,941	25	452	35,012	28,940	7,955	2	161	20,822	24,490	9,986	23	291	14,190
2015	관악구	35~39	41,984	22,067	90	1,142	18,685	22,866	10,953	31	394	11,488	19,118	11,114	59	748	7,197
2015	관악구	40~44	38,675	23,946	182	2,485	12,062	21,076	12,214	56	971	7,835	17,599	11,732	126	1,514	4,227
2015	관악구	45~49	34,060	23,285	659	3,684	6,432	17,348	11,407	143	1,493	4,305	16,712	11,878	516	2,191	2,127
2015	관악구	50~54	34,254	25,460	1,197	4,557	3,040	16,663	12,507	236	1,861	2,059	17,591	12,953	961	2,696	981
2015	관악구	55~59	34,984	26,405	2,267	4,547	1,765	16,301	13,106	308	1,929	958	18,683	13,299	1,959	2,618	807
2015	관악구	60~64	28,188	21,999	2,961	2,538	690	12,899	11,186	364	950	399	15,289	10,813	2,597	1,588	291
2015	관악구	65~69	23,625	17,472	4,164	1,654	335	10,987	9,510	502	818	157	12,638	7,962	3,662	836	178
2015	관악구	70~74	18,745	13,024	4,672	880	169	9,086	7,921	688	404	73	9,659	5,103	3,984	476	96
2015	관악구	75~79	11,247	6,690	4,143	328	86	5,223	4,491	575	150	7	6,024	2,199	3,568	178	79
2015	관악구	80~84	5,384	2,215	3,030	95	44	2,053	1,578	428	34	13	3,331	637	2,602	61	31
2015	관악구	85세 이상	3,375	697	2,555	80	43	831	488	311	24	8	2,544	209	2,244	56	35
2015	서초구	계	352,667	207,849	15,480	11,877	117,461	167,240	103,767	1,970	3,862	57,641	185,427	104,082	13,510	8,015	59,820
2015	서초구	 15~19	24,467	-	-	-	24,467	12,560	-	-	-	12,560	11,907	-	-	-	11,907
2015	서초구	20~24	25,928	166	1	-	25,761	12,511	31	1	-	12,479	13,417	135	-	-	13,282
2015	서초구	25~29	28,318	2,943	1	30	25,344	12,952	837	-	9	12,106	15,366	2,106	1	21	13,238
2015	서초구	30~34	35,134	15,836	14	169	19,115	16,389	6,425	-	50	9,914	18,745	9,411	14	119	9,201
2015	서초구	35~39	35,472	24,522	28	523	10,399	16,254	10,987	4	167	5,096	19,218	13,535	24	356	5,303
2015	서초구	40~44	38,623	30,371	180	1,599	6,473	18,465	14,589	54	700	3,122	20,158	15,782	126	899	3,351
2015	서초구	45~49	36,287	31,315	262	2,078	2,632	17,975	16,020	34	676	1,245	18,312	15,295	228	1,402	1,387
2015	서초구	50~54	30,526	26,665	520	2,108	1,233	14,834	13,663	67	577	527	15,692	13,002	453	1,531	706
2015	서초구	55~59	29,322	24,847	1,227	2,237	1,011	13,790	12,629	171	671	319	15,532	12,218	1,056	1,566	692
2015	서초구	60~64	22,661	18,991	1,601	1,556	513	10,478	9,746	146	444	142	12,183	9,245	1,455	1,112	371
2015	서초구	65~69	17,848	14,312	2,381	926	229	8,352	7,644	265	358	85	9,496	6,668	2,116	568	144
2015	서초구	70~74	12,572	9,660	2,362	411	139	6,342	5,828	347	144	23	6,230	3,832	2,015	267	116
2015	서초구	75~79	7,705	5,114	2,384	162	45	3,684	3,357	283	33	11	4,021	1,757	2,101	129	34
2015	서초구	80~84	4,385	2,154	2,135	40	56	1,701	1,415	274	4	8	2,684	739	1,861	36	48
2015	서초구	85세 이상	3,419	953	2,384	38	44	953	596	324	29	4	2,466	357	2,060	9	40
2015	강남구	계	464,687	254,475	21,630	17,325	171,257	219,310	126,313	2,713	6,176	84,108	245,377	128,162	18,917	11,149	87,149
2015	강남구	 15~19	35,914	47	17	2	35,848	18,805	14	7	1	18,783	17,109	33	10	1	17,065
2015	강남구	20~24	33,445	305	74	7	33,059	16,702	89	35	4	16,574	16,743	216	39	3	16,485
2015	강남구	25~29	39,713	3,470	5	70	36,168	17,911	923	3	25	16,960	21,802	2,547	2	45	19,208
2015	강남구	30~34	48,542	17,886	32	408	30,216	22,246	7,217	24	153	14,852	26,296	10,669	8	255	15,364
2015	강남구	35~39	43,988	25,851	80	929	17,128	20,526	11,906	22	345	8,253	23,462	13,945	58	584	8,875
2015	강남구	40~44	46,944	35,028	207	2,210	9,499	21,617	16,340	24	781	4,472	25,327	18,688	183	1,429	5,027
2015	강남구	45~49	49,511	41,455	476	3,153	4,427	23,677	20,461	70	1,009	2,137	25,834	20,994	406	2,144	2,290
2015	강남구	50~54	43,076	36,688	950	3,295	2,143	21,094	18,754	109	1,266	965	21,982	17,934	841	2,029	1,178
2015	강남구	55~59	38,021	31,784	1,765	3,030	1,442	17,789	15,946	262	934	647	20,232	15,838	1,503	2,096	795
2015	강남구	60~64	29,042	23,826	2,469	2,009	738	13,213	11,952	296	702	263	15,829	11,874	2,173	1,307	475
2015	강남구	65~69	22,272	17,656	3,074	1,238	304	10,489	9,524	357	500	108	11,783	8,132	2,717	738	196
2015	강남구	70~74	15,369	11,371	3,181	612	205	7,800	7,006	416	296	82	7,569	4,365	2,765	316	123
2015	강남구	75~79	9,392	5,839	3,288	221	44	4,449	3,897	452	94	6	4,943	1,942	2,836	127	38
2015	강남구	80~84	5,233	2,319	2,803	93	18	1,872	1,588	253	31	-	3,361	731	2,550	62	18
2015	강남구	85세 이상	4,225	950	3,209	48	18	1,120	696	383	35	6	3,105	254	2,826	13	12
2015	송파구	계	539,989	307,188	26,239	23,556	183,006	260,850	154,037	3,277	9,014	94,522	279,139	153,151	22,962	14,542	88,484
2015	송파구	 15~19	37,367	21	3	1	37,342	19,002	8	2	1	18,991	18,365	13	1	-	18,351
2015	송파구	20~24	40,903	381	4	15	40,503	20,890	53	3	7	20,827	20,013	328	1	8	19,676
2015	송파구	25~29	45,240	5,647	10	71	39,512	21,457	1,798	8	9	19,642	23,783	3,849	2	62	19,870
2015	송파구	30~34	54,921	24,843	-	371	29,707	26,573	10,421	-	145	16,007	28,348	14,422	-	226	13,700
2015	송파구	35~39	52,326	34,980	79	1,295	15,972	25,337	16,278	21	496	8,542	26,989	18,702	58	799	7,430
2015	송파구	40~44	54,426	41,912	295	2,891	9,328	26,238	20,149	55	960	5,074	28,188	21,763	240	1,931	4,254
2015	송파구	45~49	52,888	43,099	669	3,994	5,126	25,891	21,476	98	1,376	2,941	26,997	21,623	571	2,618	2,185
2015	송파구	50~54	50,310	41,775	1,282	4,832	2,421	24,295	20,849	251	1,942	1,253	26,015	20,926	1,031	2,890	1,168
2015	송파구	55~59	49,320	41,096	2,104	4,314	1,806	23,286	20,411	323	1,723	829	26,034	20,685	1,781	2,591	977
2015	송파구	60~64	37,006	30,514	3,062	2,750	680	17,839	16,219	348	1,060	212	19,167	14,295	2,714	1,690	468
2015	송파구	65~69	26,028	20,499	3,547	1,632	350	13,116	11,873	433	682	128	12,912	8,626	3,114	950	222
2015	송파구	70~74	17,489	12,408	4,115	858	108	8,683	7,793	438	403	49	8,806	4,615	3,677	455	59
2015	송파구	75~79	10,885	6,524	3,946	355	60	4,864	4,216	513	121	14	6,021	2,308	3,433	234	46
2015	송파구	80~84	6,315	2,546	3,603	122	44	2,216	1,694	466	54	2	4,099	852	3,137	68	42
2015	송파구	85세 이상	4,565	943	3,520	55	47	1,163	799	318	35	11	3,402	144	3,202	20	36
2015	강동구	계	382,072	210,162	22,602	21,000	128,308	188,359	105,793	3,135	8,415	71,016	193,713	104,369	19,467	12,585	57,292
2015	강동구	 15~19	25,407	5	1	-	25,401	13,567	-	-	-	13,567	11,840	5	1	-	11,834
2015	강동구	20~24	29,279	335	5	11	28,928	15,365	102	-	5	15,258	13,914	233	5	6	13,670
2015	강동구	25~29	30,615	3,113	3	103	27,396	15,277	956	3	15	14,303	15,338	2,157	-	88	13,093
2015	강동구	30~34	36,304	16,095	34	318	19,857	18,263	6,670	6	118	11,469	18,041	9,425	28	200	8,388
2015	강동구	35~39	34,992	22,821	108	916	11,147	17,784	10,762	21	312	6,689	17,208	12,059	87	604	4,458
2015	강동구	40~44	35,531	26,290	205	1,963	7,073	17,830	12,686	17	676	4,451	17,701	13,604	188	1,287	2,622
2015	강동구	45~49	36,376	28,255	620	3,690	3,811	17,781	13,834	118	1,370	2,459	18,595	14,421	502	2,320	1,352
2015	강동구	50~54	37,803	29,987	1,201	4,461	2,154	18,145	14,802	158	1,618	1,567	19,658	15,185	1,043	2,843	587
2015	강동구	55~59	38,274	30,318	2,204	4,358	1,394	18,290	15,311	374	1,809	796	19,984	15,007	1,830	2,549	598
2015	강동구	60~64	27,673	21,772	2,857	2,457	587	13,363	11,501	345	1,249	268	14,310	10,271	2,512	1,208	319
2015	강동구	65~69	19,697	15,001	3,021	1,473	202	9,926	8,681	496	648	101	9,771	6,320	2,525	825	101
2015	강동구	70~74	13,382	9,120	3,359	740	163	6,742	5,831	517	334	60	6,640	3,289	2,842	406	103
2015	강동구	75~79	8,294	4,568	3,338	302	86	3,638	3,007	460	155	16	4,656	1,561	2,878	147	70
2015	강동구	80~84	4,802	1,726	2,885	147	44	1,524	1,108	329	79	8	3,278	618	2,556	68	36
2015	강동구	85세 이상	3,643	756	2,761	61	65	864	542	291	27	4	2,779	214	2,470	34	61
